TJ,UF,Governança (15%),PSI (20%),DPO (15%),RIPD (15%),Resp. Incidentes (20%),Regul. IA (15%),Total Ponderado (%),Nível de Maturidade
TJSP,SP,✓,✓,✓,✗,✓,✗,70.0%,Intermediário
TJSC,SC,✓,✓,✓,✗,✓,✗,70.0%,Intermediário
TJMG,MG,✓,✓,✓,✗,½,✗,60.0%,Intermediário
TJRS,RS,✓,✓,✓,✗,✓,✗,70.0%,Intermediário
TJPR,PR,✓,✓,✓,✗,½,✗,60.0%,Intermediário
TJRJ,RJ,✓,✓,✓,✗,½,✗,60.0%,Intermediário
TJBA,BA,✓,✓,✓,✗,½,✗,60.0%,Intermediário
TJPE,PE,✓,✓,✗,✗,½,✗,45.0%,Básico
TJCE,CE,✓,✓,✗,✗,✗,✗,35.0%,Básico
TJGO,GO,✓,✓,✗,✗,✗,✗,35.0%,Básico
TJMA,MA,✓,✗,✗,✗,✗,✗,15.0%,Inicial
TJPA,PA,✓,✓,✗,✗,½,✗,45.0%,Básico
TJPB,PB,✓,✗,✗,✗,✗,✗,15.0%,Inicial
TJRN,RN,✓,✗,✗,✗,✗,✗,15.0%,Inicial
TJPI,PI,✓,✗,✗,✗,✗,✗,15.0%,Inicial
TJMS,MS,✓,✓,✗,✗,✗,✗,35.0%,Básico
TJMT,MT,✓,✗,✗,✗,✗,✗,15.0%,Inicial
TJAL,AL,✓,✓,✗,✗,½,✗,45.0%,Básico
TJES,ES,✓,✓,✗,✗,✗,✗,35.0%,Básico
TJAM,AM,✓,✗,✗,✗,✗,✗,15.0%,Inicial
TJSE,SE,✓,✗,✗,✗,✗,✗,15.0%,Inicial
TJDF,DF,✓,✓,✓,✗,½,✗,60.0%,Intermediário
TJTO,TO,✓,✗,✗,✗,✗,✗,15.0%,Inicial
TJRO,RO,✓,✗,✗,✗,✗,✗,15.0%,Inicial
TJAC,AC,✗,✗,✗,✗,✗,✗,0.0%,Inicial
TJAP,AP,✗,✗,✗,✗,✗,✗,0.0%,Inicial
TJRR,RR,✗,✗,✗,✗,✗,✗,0.0%,Inicial
